"genome" "cluster2"
"GCA_000173575.1" 1
"GCA_000180115.1" 2
"GCA_000209465.1" 3
"GCA_000209515.2" 4
"GCA_016288855.1" 5
"GCF_002216005.1" 6
"GCA_016841675.1" 7
"GCA_018658465.1" 8
"GCF_003885105.1" 9
"GCA_000416275.1" 10
"GCA_017473335.1" 11
"GCF_002531555.1" 12
"GCA_000431815.1" 13
"GCA_016935355.1" 14
"GCA_017628555.1" 15
"GCA_900540625.1" 16
"GCF_900406815.1" 17
"GCF_004011155.1" 18
"GCA_000445185.1" 19
"GCA_002320975.1" 20
"GCA_016870615.1" 21
"GCF_900476375.1" 22
"GCA_000517005.1" 23
"GCA_000576345.1" 24
"GCA_012838945.1" 25
"GCF_002286695.1" 26
"GCA_016927755.1" 27
"GCA_018435055.1" 28
"GCF_007954265.1" 29
"GCF_013294075.1" 30
"GCF_004135055.1" 31
"GCA_903870155.1" 32
"GCF_003946695.1" 33
"GCF_900115975.1" 34
"GCF_014205685.1" 35
"GCF_016918505.1" 36
"GCA_013360445.1" 37
"GCF_012843265.1" 38
"GCA_018710845.1" 39
"GCF_001399675.1" 40
"GCA_001238275.1" 41
"GCA_018000455.1" 42
"GCF_003994475.1" 43
"GCF_000179775.1" 44
"GCA_001315825.1" 45
"GCA_009840285.1" 46
"GCA_018823795.1" 47
"GCA_002869435.1" 48
"GCA_001438335.1" 49
"GCF_019042735.1" 50
"GCF_004341165.1" 51
"GCF_000832075.1" 52
"GCF_002760615.1" 53
"GCF_014643435.1" 54
"GCF_004614185.1" 55
"GCA_016720945.1" 56
"GCA_018434395.1" 57
"GCA_017438865.1" 58
"GCA_009903935.1" 59
"GCA_012517955.1" 60
"GCF_003946175.1" 61
"GCA_003554945.1" 62
"GCF_013426935.1" 63
"GCA_001648025.1" 64
"GCA_003137075.1" 65
"GCF_900163865.1" 66
"GCF_000312525.1" 67
"GCF_000519185.1" 68
"GCF_001644015.1" 69
"GCA_903842515.1" 70
"GCA_001603685.1" 71
"GCA_017621755.1" 72
"GCF_016901035.1" 73
"GCF_001722485.1" 74
"GCA_001636975.1" 75
"GCA_001641325.1" 76
"GCF_004364155.1" 77
"GCA_007692655.1" 78
"GCA_001657315.1" 79
"GCA_001660395.1" 80
"GCF_004354625.1" 81
"GCF_001637225.1" 82
"GCA_003235935.1" 83
"GCA_009923755.1" 84
"GCA_900550925.1" 85
"GCF_001562415.1" 86
"GCA_016214125.1" 87
"GCA_003134555.1" 88
"GCF_000331285.1" 89
"GCF_009602515.1" 90
"GCA_001769385.1" 91
"GCA_001825665.1" 92
"GCF_009296265.1" 93
"GCA_018241745.1" 94
"GCA_001770855.1" 95
"GCA_001770895.1" 96
"GCA_012517325.1" 97
"GCA_009377695.1" 98
"GCA_903897925.1" 99
"GCF_000264315.1" 100
"GCA_006212005.1" 101
"GCA_001797525.1" 102
"GCA_900545405.1" 103
"GCA_018650795.1" 104
"GCA_002529645.1" 105
"GCA_009711595.1" 106
"GCF_003386205.1" 107
"GCA_001812065.1" 108
"GCF_009763235.1" 109
"GCA_013388515.1" 110
"GCA_017635095.1" 111
"GCA_903862885.1" 112
"GCA_014381585.1" 113
"GCF_007989765.1" 114
"GCF_001590985.1" 115
"GCA_905182785.1" 116
"GCA_903860935.1" 117
"GCF_012273655.1" 118
"GCA_013619105.1" 119
"GCF_000236985.1" 120
"GCF_900116515.1" 121
"GCA_001942255.1" 122
"GCA_012735575.1" 123
"GCA_015486095.1" 124
"GCF_000275465.1" 125
"GCA_014465955.1" 126
"GCA_002049545.1" 127
"GCA_903919075.1" 128
"GCA_002067705.1" 129
"GCA_011046395.1" 130
"GCF_004337705.1" 131
"GCF_009877435.1" 132
"GCF_008711465.1" 133
"GCA_009885845.1" 134
"GCA_905200475.1" 135
"GCF_000787835.1" 136
"GCA_011056555.1" 137
"GCA_009778655.1" 138
"GCA_002095455.1" 139
"GCA_002101235.1" 140
"GCA_002159075.1" 141
"GCF_018678075.1" 142
"GCA_018816735.1" 143
"GCA_002167345.2" 144
"GCA_905478655.1" 145
"GCF_000964085.1" 146
